Name,Start Date,End Date,Event Location,Description,Category
PDC Darts 2025,02/01/2025,02/01/2025,Various UK Venues,"Experience the thrill of professional darts at PDC Darts events in 2025! Witness world-class players compete in high-stakes matches, delivering electrifying atmospheres and unforgettable sporting entertainment. Secure your tickets for an unmissable darts experience!",Darts
Dubai VIP Golf Experience 2025,17/01/2025,23/01/2025,"Dubai, UAE","Indulge in a Dubai VIP Golf Experience in 2025! Play on world-renowned courses with stunning desert backdrops, enjoy luxury accommodations, and experience VIP hospitality in the golfing paradise of Dubai. Elevate your golf game and enjoy an unforgettable luxury getaway.",Golf
Cirque du Soleil Live Show 2025,30/01/2025,30/01/2025,Various Locations,"Witness the magic of Cirque du Soleil live in 2025! Be captivated by breathtaking acrobatics, stunning costumes, and enchanting storytelling in a world-renowned theatrical spectacle. Book your tickets now for an unforgettable entertainment experience!",Theatre
Six Nations Rugby 2025 (Ireland vs England),31/01/2025,02/02/2025,"Dublin, Ireland (Likely Aviva Stadium)","Witness the epic Six Nations Rugby clash: Ireland vs England in 2025! Experience the fierce rivalry, passionate fans, and world-class rugby action in Dublin. Secure your tickets for a truly unforgettable Six Nations experience!",Rugby
White Turf Horse Racing 2025 - St. Moritz,31/01/2025,03/02/2025,"St. Moritz, Switzerland","Experience the glamorous White Turf Horse Racing in St. Moritz 2025! Witness thrilling races on a frozen lake, enjoy gourmet catering, live music, and breathtaking alpine views. A unique and luxurious winter sporting event not to be missed!",Horse Racing
Cirque du Soleil Performance 2025,06/02/2025,06/02/2025,Various Locations,"Don't miss another chance to see Cirque du Soleil in 2025! Experience breathtaking acrobatics, artistic performances, and captivating storytelling from the world's leading theatrical circus. Book your tickets today!",Theatre
Six Nations Rugby 2025 (England vs France),08/02/2025,08/02/2025,"London, England (Likely Twickenham Stadium)","Experience the thrilling Six Nations Rugby showdown: England vs France in 2025! Witness the historic rivalry, passionate fans, and world-class rugby action in London. Secure your tickets for an unforgettable Six Nations experience!",Rugby
Super Bowl 2025 - New Orleans,08/02/2025,11/02/2025,"New Orleans, Louisiana, USA","Be at Super Bowl LIX in New Orleans 2025! Experience the ultimate NFL event with world-class football, a spectacular halftime show, and the vibrant atmosphere of the Big Easy. Secure your Super Bowl tickets and packages now!",American Football
Cirque du Soleil Spectacle 2025,13/02/2025,13/02/2025,Various Locations,"Experience another enchanting Cirque du Soleil Spectacle in 2025! Witness breathtaking performances, stunning artistry, and captivating storytelling in this world-class theatrical event. Book your tickets now for an unforgettable evening!",Theatre
Moulin Rouge Paris Cabaret 2025,13/02/2025,15/02/2025,"Paris, France","Celebrate Valentine's Day at the Moulin Rouge Paris Cabaret 2025! Experience a dazzling cabaret show, Parisian charm, and romantic ambiance. A perfect Valentine's getaway for an unforgettable experience. Book your romantic Parisian escape!",Theatre
Brighton vs Chelsea Premier League 2025,15/02/2025,15/02/2025,"Brighton, England (Likely Amex Stadium)","Witness Premier League action: Brighton vs Chelsea in 2025! Experience top-tier football, passionate fans, and premium hospitality at the Amex Stadium. Secure your tickets for a thrilling Premier League matchday!",Football
Moulin Rouge Paris Experience 2025,13/02/2025,15/02/2025,"Paris, France","Immerse yourself in the full Moulin Rouge Paris Experience 2025! Enjoy cabaret shows, Parisian ambiance, and the magic of this iconic venue. A must-do Parisian experience for culture and entertainment lovers. Plan your Moulin Rouge adventure!",Theatre
Moulin Rouge Cabaret Show 2025 - Paris,19/02/2025,21/02/2025,"Paris, France","Enjoy another chance to see the spectacular Moulin Rouge Cabaret Show in Paris 2025! Experience French cabaret history, vibrant performances, and Parisian culture in this iconic venue. Book your tickets for a taste of Parisian nightlife!",Theatre
Red Bull Factory Tour 2025,21/02/2025,21/02/2025,"Milton Keynes, UK (Red Bull Racing Factory)","Get exclusive access with a Red Bull Factory Tour 2025! Go behind the scenes at Red Bull Racing, witness F1 innovation, and experience motorsport engineering firsthand. A must-do for Formula 1 and motorsport fans! Book your Red Bull Factory Tour now!",Experiences
The Fat Duck Dining Experience 2025,25/02/2025,26/02/2025,"Bray, UK (The Fat Duck Restaurant)","Indulge in a culinary masterpiece at The Fat Duck Dining Experience 2025! Enjoy Heston Blumenthal's innovative Michelin-starred cuisine, a multi-sensory gastronomic adventure. Book your unforgettable dining experience now!",Dining
Brit Awards 2025 - Live in London,01/03/2025,01/03/2025,"London, UK (Likely The O2 Arena)","Celebrate British music at the Brit Awards 2025! Witness live performances from top artists, award presentations, and the biggest night in British music. Be part of the Brit Awards excitement in London! Get your Brit Awards tickets and experience the music industry's finest.",Entertainment
Sabrina Carpenter Live Concert 2025,08/03/2025,08/03/2025,Various Locations (Tour),"See Sabrina Carpenter live in concert in 2025! Experience her dynamic stage presence, hit songs, and electrifying performance on her 2025 tour. Get your Sabrina Carpenter concert tickets now and don't miss out!",Concerts
Six Nations Rugby 2025 (England vs Italy),08/03/2025,11/03/2025,"Rome, Italy (Likely Stadio Olimpico)","Experience Six Nations Rugby in Rome: England vs Italy 2025! Witness international rugby action, passionate Italian fans, and the charm of Rome. Secure your tickets for a unique Six Nations away game experience!",Rugby
Cheltenham Festival 2025 - Opening Weekender,11/03/2025,11/03/2025,"Cheltenham, UK (Cheltenham Racecourse)","Kick off Cheltenham Festival 2025 with the Opening Weekender! Experience thrilling jump racing, early festival atmosphere, and a preview of Gold Cup week. Get your Cheltenham Festival Opening Weekender tickets now!",Horse Racing
Cheltenham Festival 2025 - Main Event,12/03/2025,15/03/2025,"Cheltenham, UK (Cheltenham Racecourse)","Immerse yourself in the Cheltenham Festival 2025 Main Event! Experience four days of world-class jump racing, Gold Cup Day, and the unparalleled atmosphere of jump racing's greatest festival. Get your Cheltenham Festival tickets now!",Horse Racing
Cheltenham Festival 2025 - Gold Cup Day,14/03/2025,14/03/2025,"Cheltenham, UK (Cheltenham Racecourse)","Attend Cheltenham Gold Cup Day 2025! Witness the pinnacle of jump racing, the prestigious Cheltenham Gold Cup, and the electrifying atmosphere of Festival Friday. Get your Gold Cup Day tickets now!",Horse Racing
Six Nations Rugby 2025 (Wales vs England),14/03/2025,15/03/2025,"Cardiff, Wales (Likely Principality Stadium)","Experience the fiery Six Nations Rugby rivalry: Wales vs England 2025! Witness passionate Welsh fans, intense rugby action, and the electric atmosphere in Cardiff. Get your Wales vs England Six Nations tickets now!",Rugby
Punchestown Racing Festival 2025,29/04/2025,03/05/2025,"Punchestown, Ireland (Punchestown Racecourse)","Experience Ireland's premier jump racing festival: Punchestown 2025! Enjoy top-class National Hunt racing, Irish hospitality, and a vibrant festival atmosphere. A must-attend event for racing enthusiasts! Plan your Punchestown Festival trip!",Horse Racing
Dubai World Cup Horse Racing 2025,01/04/2025,06/04/2025,"Dubai, UAE (Meydan Racecourse)","Experience the grandeur of the Dubai World Cup 2025! Witness the world's richest horse race, luxury hospitality, and world-class racing at Meydan Racecourse. A spectacular event for horse racing enthusiasts and luxury travelers. Plan your Dubai World Cup experience!",Horse Racing
Manchester United vs Manchester City Derby 2025,05/04/2025,05/04/2025,"Manchester, UK (Old Trafford)","Be part of the Manchester Derby 2025! Witness the iconic clash between Manchester United and Manchester City at Old Trafford. Experience intense football rivalry, passionate fans, and Premier League drama. Get your Manchester Derby tickets now!",Football
US Masters Golf Tournament 2025,05/04/2025,09/04/2025,"Augusta, Georgia, USA (Augusta National Golf Club)","Witness the final day of the US Masters 2025! See golf's greatest compete at Augusta National, chase the Green Jacket, and experience the tradition of the Masters. A dream event for golf fans! Plan your US Masters experience!",Golf
Usher Live at the O2 Arena 2025,2025-04-11,2025-04-11,"London, UK (The O2 Arena)","Enjoy an electrifying performance by Usher at the O2 Arena in London, featuring his greatest hits and dynamic stage presence. Get your Usher tickets for an unforgettable R&B concert experience!",Concerts
Hinds Head + Royal Windsor Experience 2025,2025-04-14,2025-04-15,"Bray & Windsor, UK","Delight in a gastronomic experience at Heston Blumenthal's Hinds Head, followed by a visit to the historic Royal Windsor. Experience the best of British culinary and royal heritage.",Dining
Chelsea Flower Show 2025,2025-05-20,2025-05-24,"London, UK (Royal Hospital Chelsea)",Immerse yourself in stunning garden designs and vibrant floral displays at the iconic RHS Chelsea Flower Show event in London. A must-see for gardening enthusiasts and beauty seekers.,Fashion
Learn to Fly Aviation Experience 2025,2025-05-01,2025-05-02,Various UK Locations,"Embark on an exhilarating 'Learn to Fly' Aviation Experience in 2025! Take the controls of an aircraft, learn the basics of piloting, and experience the thrill of flight under professional guidance. Book your flight adventure now!",Experiences
Miami Grand Prix 2025,2025-05-02,2025-05-04,"Miami, Florida, USA (Miami International Autodrome)","Experience the high-octane Miami Grand Prix 2025! Witness thrilling Formula 1 racing, glamorous Miami vibes, and a spectacular race weekend at the Miami International Autodrome. Get your Miami GP tickets now!",Formula 1
El Clásico 2025,2025-05-10,2025-05-11,"Barcelona, Spain (Camp Nou - likely)","Witness El Clásico 2025 live in Barcelona! Experience the epic clash between FC Barcelona and Real Madrid, the world's greatest club football rivalry. Get your El Clásico tickets now for a football spectacle!",Football
Learn to Fly Pilot Training Experience 2025,2025-05-15,2025-05-16,Various UK Locations,"Expand your horizons with a 'Learn to Fly' Pilot Training Experience in 2025! Take a hands-on flight training session, delve deeper into piloting skills, and further explore the world of aviation. Book your advanced flight experience now!",Experiences
Coral Lockinge Stakes 2025,2025-05-17,2025-05-17,"Newbury Racecourse, UK","Witness top-tier horse racing at Coral Lockinge Stakes 2025! Attend Ladies Day at Newbury Racecourse, see Group 1 thoroughbred action, and enjoy elegance and excitement. Get your Lockinge Stakes tickets now!",Horse Racing
Name,Start Date,End Date,Event Location,Description,Category
Imola Grand Prix 2025 - Formula 1,2025-05-16,2025-05-19,"Imola, Italy (Autodromo Enzo e Dino Ferrari)","Experience Formula 1 at the historic Imola Grand Prix 2025! Witness thrilling racing at the Autodromo Enzo e Dino Ferrari, a classic F1 circuit in Italy. Get your Imola GP tickets now for a motorsport pilgrimage!",Formula 1
Monaco Grand Prix 2025 - Formula 1,2025-05-23,2025-05-26,"Monte Carlo, Monaco","Be part of the glamour and excitement of the Monaco Grand Prix 2025! Witness Formula 1 racing through the streets of Monte Carlo, a jewel of motorsport and luxury. Get your Monaco GP tickets now for the ultimate F1 experience!",Formula 1
Above + Beyond VIP Golf Event 2025,2025-05-29,2025-05-29,Various Exclusive Golf Courses,"Participate in the Above + Beyond VIP Golf Event 2025! Enjoy a day of premium golf, luxury hospitality, and networking at an exclusive golf course (location TBC). Elevate your golfing experience with Above + Beyond!",Golf
Spanish Grand Prix 2025 - Formula 1,2025-05-30,2025-06-02,"Barcelona, Spain (Circuit de Barcelona-Catalunya)","Experience the high-speed Spanish Grand Prix 2025! Witness Formula 1 racing at the Circuit de Barcelona-Catalunya, a classic and challenging track. Get your Spanish GP tickets now for a weekend of motorsport excitement!",Formula 1
Epsom Derby 2025 - Flat Horse Racing,2025-06-07,2025-06-07,"Epsom Downs Racecourse, UK","Experience the thrill of the Epsom Derby 2025! Witness the world's greatest flat race at Epsom Downs, a historic and prestigious horse racing event. Get your Derby Day tickets now for a day of racing excellence!",Horse Racing
Canadian Grand Prix 2025 - Formula 1,2025-06-12,2025-06-16,"Montreal, Canada (Circuit Gilles Villeneuve)","Join the excitement of the Canadian Grand Prix 2025! Experience Formula 1 racing at Circuit Gilles Villeneuve in Montreal, a thrilling and fan-favorite track. Get your Canadian GP tickets now for a North American motorsport highlight!",Formula 1
Gallagher Premiership Rugby Final 2025,2025-06-14,2025-06-14,"London, UK (Twickenham Stadium - likely)",Watch the Gallagher Premiership Rugby Final 2025! See England's top rugby clubs battle for the Premiership title at Twickenham Stadium. Experience the climax of the rugby season! Get your Premiership Final tickets now!,Rugby
Summertime Ball 2025,2025-06-15,2025-06-15,"London, UK (Wembley Stadium)",Celebrate summer at the Summertime Ball 2025! Enjoy the UK's biggest summer party with a star-studded line-up of pop music's biggest names at Wembley Stadium. Get your Summertime Ball tickets now!,Concerts
Royal Ascot Horse Racing 2025,2025-06-18,2025-06-18,"Ascot Racecourse, UK","Attend Royal Ascot 2025, a prestigious horse racing event known for its elegance, tradition, and top-tier racing. Experience the thrill of Royal Ascot! Get your Royal Ascot tickets now and witness racing royalty.",Horse Racing
Dua Lipa Live Concert 2025,2025-06-20,2025-06-20,Various Locations (Tour),"Enjoy a live performance by Dua Lipa in 2025! Experience her electrifying stage presence, chart-topping hits, and dynamic show on her 2025 tour. Get your Dua Lipa concert tickets now for a pop extravaganza!",Concerts
Royal Ascot 2025 - Day 2,2025-06-21,2025-06-21,"Ascot Racecourse, UK","Continue the elegance and excitement of Royal Ascot on Day 2, 2025! Experience another day of top-tier racing, stunning fashion, and Royal Ascot tradition. Get your Day 2 tickets now and enjoy the spectacle!",Horse Racing
Name,Start Date,End Date,Event Location,Description,Category
Queen’s Club Tennis Championships 2025,2025-06-22,2025-06-22,"London, UK (Queen's Club)","Watch world-class tennis at the Queen’s Club Championships 2025! See top ATP players compete in this prestigious grass-court tournament, a key warm-up for Wimbledon. Get your Queen's Club tickets now!",Tennis
Venice Simplon Orient Express Luxury Trip 2025,2025-06-22,2025-06-25,Europe (Various cities depending on route),"Embark on a luxurious journey aboard the Venice Simplon-Orient-Express in 2025! Experience timeless elegance, opulent travel, and iconic European destinations on this legendary train. Book your unforgettable rail adventure!",Experiences
Giorgio Armani Tennis Classic 2025,2025-06-24,2025-06-24,"London, UK (Hurlingham Club)",Experience the Giorgio Armani Tennis Classic 2025! Watch exhibition tennis featuring top players in an exclusive and intimate setting at the Hurlingham Club in London. Get your tickets for a unique tennis event!,Tennis
Glastonbury Music Festival 2025,2025-06-25,2025-06-30,"Pilton, Somerset, UK (Worthy Farm)","Attend Glastonbury Festival 2025, the iconic music and arts festival! Experience a diverse lineup of world-renowned artists, vibrant atmosphere, and legendary festival spirit at Worthy Farm. Get ready for Glastonbury!",Festival
Austrian Grand Prix 2025 - Formula 1,2025-06-27,2025-06-30,"Spielberg, Austria (Red Bull Ring)","Experience the Austrian Grand Prix 2025! Witness Formula 1 racing at the Red Bull Ring, known for its stunning alpine backdrop and thrilling races. Get your Austrian GP tickets now for a motorsport weekend in the mountains!",Formula 1
Henley Royal Regatta 2025,2025-07-01,2025-07-06,"Henley-on-Thames, UK (River Thames)","Experience the quintessential British rowing festival: Henley Royal Regatta 2025! Witness world-class rowing races on the Thames, enjoy luxury hospitality, and soak in the unique Henley atmosphere. Plan your Henley Regatta experience!",Rowing & Sailing
Wimbledon Tennis Championships 2025,2025-07-03,2025-07-03,"London, UK (All England Lawn Tennis Club)","Attend Wimbledon Championships 2025, the world's oldest and most prestigious tennis tournament! Witness world-class tennis on Centre Court, experience British summer tradition, and soak in the unique Wimbledon atmosphere. Get your Wimbledon tickets now!",Tennis
British Grand Prix 2025 - Formula 1,2025-07-04,2025-07-06,"Silverstone, UK","Join the excitement of the British Grand Prix 2025! Witness Formula 1 racing at Silverstone Circuit, a legendary cornerstone of the F1 season. Get your British GP tickets now for a home race spectacle!",Formula 1
Goodwood Festival of Speed 2025,2025-07-11,2025-07-11,"Goodwood, West Sussex, UK","Experience the Goodwood Festival of Speed 2025! Celebrate motorsport and car culture with thrilling hill climbs, supercars, and automotive legends at Goodwood House. A petrolhead's paradise! Get your Festival of Speed tickets now!",Motorsport
Wimbledon Finals 2025,2025-07-11,2025-07-11,"London, UK (All England Lawn Tennis Club)","Witness the Wimbledon Finals 2025, the pinnacle of The Championships! See the ladies' and gentlemen's singles finals on Centre Court, experience tennis history, and soak in the electric atmosphere. Get your Wimbledon Finals tickets now!",Tennis
The Open Golf Championship 2025 - Ireland,2025-07-19,2025-07-20,Ireland (Prestigious Course TBC),"Attend The Open Championship 2025 in Ireland, golf's oldest Major! Witness world-class golfers compete on a prestigious Irish links course. Get your Open tickets now for a historic golfing experience!",Golf
The Fat Duck Michelin-Starred Dining 2025,2025-07-24,2025-07-25,"Bray, UK (The Fat Duck Restaurant)","Indulge in a culinary adventure at The Fat Duck Dining Experience 2025! Enjoy Heston Blumenthal's three-Michelin-starred restaurant, offering an innovative and unforgettable gastronomic journey. Book your Fat Duck experience now!",Culinary
Belgian Grand Prix 2025 - Formula 1,2025-07-25,2025-07-28,"Spa-Francorchamps, Belgium","Experience the legendary Belgian Grand Prix 2025! Witness Formula 1 racing at Spa-Francorchamps, a fan-favorite circuit known for its challenging layout and Eau Rouge. Get your Belgian GP tickets now for a classic F1 weekend!",Formula 1
Hungarian Grand Prix 2025 - Formula 1,2025-08-01,2025-08-04,"Mogyoród, Hungary (Hungaroring)","Join the excitement of the Hungarian Grand Prix 2025! Experience Formula 1 racing at the Hungaroring, known for its tight and twisty circuit and passionate fans. Get your Hungarian GP tickets now for a summer F1 weekend!",Formula 1
Dutch Grand Prix 2025,2025-08-29,2025-08-31,"Zandvoort, Netherlands (Circuit Zandvoort)","Experience the Dutch Grand Prix 2025! Witness Formula 1 racing at the revamped Zandvoort circuit, enjoy the orange atmosphere, and feel the thrill of the Dutch GP. Get your Zandvoort tickets now for a seaside motorsport festival!",Formula 1
Hinds Head + Royal Windsor Dining 2025,2025-08-30,2025-08-30,"Bray, Berkshire, UK",Enjoy a meal at The Hinds Head followed by a visit to the historic Royal Windsor.,Dining
Goodwood Revival Festival 2025,2025-09-05,2025-09-05,"Goodwood Circuit, West Sussex, UK","Step back in time at the Goodwood Revival, celebrating vintage motorsport and fashion.",Motorsport
Italian Grand Prix 2025 - Formula 1,2025-09-05,2025-09-08,"Monza, Italy","Experience the Italian Grand Prix at Monza, the 'Temple of Speed' and a highlight of the F1 calendar.",Formula 1
BMW Championship 2025,2025-09-12,2025-09-15,"Wentworth Club, Surrey, UK",Enjoy VIP hospitality and top-tier golf at the BMW PGA Championship at Wentworth Club.,Golf
Last Night of the Proms 2025,2025-09-13,2025-09-13,"Royal Albert Hall, London, UK",Cap off the BBC Proms with an unforgettable orchestral and choral extravaganza.,Music
Azerbaijan Grand Prix 2025,2025-09-14,2025-09-14,"Baku City Circuit, Baku, Azerbaijan",Experience high‑octane Formula 1 racing at the iconic Baku City Circuit in Azerbaijan.,Formula 1
Venice Simplon Orient Express Journey 2025,2025-09-15,2025-09-18,"London, UK to Venice, Italy","Embark on a luxurious journey aboard the Venice Simplon-Orient-Express, renowned for its elegance and history.",Experiences
London Fashion Week 2025,2025-09-23,2025-09-27,"London, UK",Experience cutting‑edge fashion and industry showcases in the heart of London.,Fashion
Ryder Cup 2025 - New York,2025-09-25,2025-09-29,"New York, USA","Attend the Ryder Cup in New York, witnessing top golfers from Europe and the USA compete in this prestigious event.",Golf
Singapore Grand Prix 2025 - Formula 1 Night Race,2025-10-01,2025-10-08,"Marina Bay Street Circuit, Singapore","Experience the Singapore Grand Prix, Formula 1's original night race, known for its stunning cityscape backdrop.",Formula 1
Simply Red Live Tour 2025,2025-10-09,2025-10-09,"O2 Arena, London, UK","Enjoy a live performance by Simply Red, featuring classic hits and new material.",Concerts
Texas Grand Prix 2025 - Formula 1,2025-10-16,2025-10-20,"Circuit of the Americas, Austin, Texas, USA","Join the excitement of the United States Grand Prix at Circuit of the Americas in Texas, a premier event in the F1 calendar.",Formula 1
NFL London Series 2025,2025-10-19,2025-10-19,"Wembley Stadium, London, UK",Catch top NFL teams in action during a high‑profile game in London.,American Football
Royal Variety Performance 2025,2025-11-07,2025-11-07,"London Palladium, London, UK","Watch a dazzling, star-studded variety show featuring top entertainers, graced by the Royal Family.",Entertainment
Ascot November Meeting 2025,2025-11-07,2025-11-08,"Ascot Racecourse, Berkshire, UK",Enjoy premier horse racing and exquisite luxury hospitality at Ascot’s November meeting.,Horse Racing
Valencia Moto GP 2025,2025-11-08,2025-11-08,"Circuit Ricardo Tormo, Valencia, Spain","Experience thrilling, high‑speed motorcycle racing at the renowned Circuit Ricardo Tormo in Valencia.",Motorsport
Autumn Internationals Rugby 2025,2025-11-07,2025-11-15,"Various Stadiums, Europe",Watch riveting international rugby union test matches throughout the Autumn window.,Rugby
Cheltenham November Meeting 2025,2025-11-21,2025-11-22,"Cheltenham Racecourse, Gloucestershire, UK",Experience world‑class National Hunt racing at the prestigious Cheltenham November Meeting.,Horse Racing
Las Vegas Grand Prix 2025,2025-11-22,2025-11-22,"Las Vegas Strip Circuit, Las Vegas, NV, USA",Feel the adrenaline rush of Formula 1 at the iconic Las Vegas Grand Prix.,Formula 1
Abu Dhabi Grand Prix 2025 - Formula 1,2025-12-03,2025-12-08,"Yas Marina Circuit, Abu Dhabi, UAE","Experience the season finale of the Formula 1 calendar at the Abu Dhabi Grand Prix, held at the Yas Marina Circuit.",Formula 1
Dubai 7’s 2025,2025-12-06,2025-12-08,"The Sevens Stadium, Dubai, UAE","Experience the fast‑paced, electrifying excitement of rugby sevens in a breathtaking desert setting.",Rugby